Star	HD	RA	dec	Vmag	Vmagerr	par	parerr	source	teff	tefferr	logg	loggerr	logglc	logglcerr	vt	vterr	feh	feherr	mass	masserr	Author	link	flag	updated	Comment	tmp
EPIC 205117205	NULL	16 10 15.00	-19 19 09.00	16	NULL	NULL	NULL	Spec	3540	70	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Mann et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1604.06165	0	2016-05-03	M3	K2-33
EPIC 211391664	NULL	08 25 57.20	+11 30 40.00	12.17	0.03	NULL	NULL	Spec	6120	80	4.23	0.04	NULL	NULL	1.3	0.1	-0.2	0.1	1.16	0.08	Barragan et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1608.01165	0	2016-09-13	NULL	NULL
EPIC 211822797	NULL	08 41 38.49	+17 38 24.02	NULL	NULL	NULL	NULL	Spec	3880	67	NULL	NULL	NULL	NULL	1.5	NULL	0.14	0.04	NULL	NULL	Mann et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1609.00726	0	2016-09-12	M0	NULL
EPIC 211913977	NULL	08 41 22.58	+18 56 1.950	12.96	NULL	NULL	NULL	Spec	4819	45	NULL	NULL	NULL	NULL	1.5	NULL	0.14	0.04	NULL	NULL	Mann et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1609.00726	0	2016-09-12	NULL	NULL
EPIC 211969807	NULL	08 38 32.82	+19 46 25.78	16.26	NULL	NULL	NULL	Spec	3660	67	NULL	NULL	NULL	NULL	1.5	NULL	0.14	0.04	NULL	NULL	Mann et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1609.00726	0	2016-09-12	M1	NULL
EPIC 211970147	NULL	08 40 13.45	+19 46 43.72	13.19	NULL	NULL	NULL	Spec	4695	50	NULL	NULL	NULL	NULL	1.5	NULL	0.14	0.04	NULL	NULL	Mann et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1609.00726	0	2016-09-12	NULL	NULL
EPIC 211990866	NULL	08 38 24.30	+20 06 21.83	10.55	NULL	NULL	NULL	Spec	6120	90	NULL	NULL	NULL	NULL	1.5	NULL	0.14	0.04	NULL	NULL	Mann et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1609.00726	0	2016-09-12	NULL	NULL
EPIC 216468514	NULL	18 59 56.49	-22 17 36.25	12.92	0.01	NULL	NULL	NULL	6030	120	4.07	0.1	NULL	NULL	NULL	NULL	0.1	0.1	1.29	0.11	Eigmuller et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1611.03704	0	2017-01-31	NULL	NULL
EPIC 218916923	NULL	19 16 16.00	-17 54 38.00	11.7	0.14	NULL	NULL	Spec	5287	60	4.52	0.06	NULL	NULL	0.87	0.06	0.21	0.05	0.95	0.07	Barragan et al. 2017	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1702.00691	0	2017-02-06	NULL	TYC 6300-2008-1
EPIC 219388192	NULL	19 17 34.00	-16 52 18.00	12.5	0.02	2.49	NULL	Spec	5850	85	4.38	0.12	NULL	NULL	NULL	NULL	0.03	0.08	1.1	0.09	Nowak et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1610.08571	0	2016-11-23	NULL	NULL
EPIC 220504338	NULL	01 17 48.00	+06 42 08.00	13.68	0.03	1.66	NULL	Spec	5627	88	4.4	0.15	NULL	NULL	NULL	NULL	0.18	0.06	1.07	0.09	Espinoza et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1611.07614	0	2016-12-02	NULL	NULL
EPIC 220674823	NULL	00 52 19.15	+10 47 40.92	12	0.21	3.46	NULL	Spec	5814	181	4.41	0.09	NULL	NULL	NULL	NULL	-0.28	0.25	1	0.1	Adams et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1611.00397	0	2016-11-23	NULL	NULL
EPIC-206011691	NULL	22 41 12.89	-14 29 20.35	12.85	0.02	NULL	NULL	Spec	4043	375	NULL	NULL	NULL	NULL	NULL	NULL	-0.11	0.13	NULL	NULL	Petigura et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150708256P	0	2015-07-31	M dwarf	NULL
EPIC-210490365	NULL	04 13 06.00	+15 14 52.00	15.88	0.03	NULL	NULL	Spec	3180	60	NULL	NULL	NULL	NULL	NULL	NULL	0.15	0.03	NULL	NULL	Mann et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1512.00483	0	2016-01-13	M4.5	NULL
eps CrB	143107	15 57 35.25	+26 52 40.36	4.13	0.01	14.73	0.21	Simbad	4436	56	1.94	0.15	NULL	NULL	1.68	0.06	-0.22	0.03	1.44	0.18	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
eps Eridani	22049	03 32 55.84	-09 27 29.73	3.73	NULL	99.99	0.16	Simbad	5049	48	4.45	0.09	NULL	NULL	0.83	0.1	-0.15	0.03	0.76	0.06	Tsantaki et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...555A.150T	1	2013-05-02	NULL	NULL
eps Tau	28305	04 28 36.99	+19 10 49.54	3.53	0.05	22.24	0.25	Simbad	4946	70	2.62	0.15	NULL	NULL	1.48	0.07	0.17	0.06	2.73	0.1	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
eta Cet	6805	01 08 35.39	-10 10 56.16	3.45	NULL	26.32	0.14	Simbad	4528	19	2.36	0.05	NULL	NULL	NULL	NULL	0.07	0.1	4.51	0.21	Trifonov et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1407.0712T	0	2014-07-08	NULL	NULL
gamma 1 Leo	89484	10 19 58.42	+19 50 28.53	2.12	NULL	25.96	0.83	Simbad	4395	48	1.66	0.13	NULL	NULL	1.67	0.04	-0.47	0.03	3.7	0.44	Sousa et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150302443S	1	2015-03-12	NULL	HD 89484
gamma Cephei	222404	23 39 20.85	+77 37 56.18	3.22	0.01	70.91	0.4	Simbad	4764	112	3.1	0.27	NULL	NULL	1.06	0.12	0.13	0.06	1.26	0.14	Mortier et al. 2013b	http://adsabs.harvard.edu/abs/2013A%26A...557A..70M	1	2013-08-01	NULL	NULL
GJ 1132	NULL	10 14 52.00	-47 09 24.00	13.5	NULL	NULL	NULL	Spec	3270	140	5.06	NULL	NULL	NULL	NULL	NULL	-0.12	0.15	0.18	0.02	Berta-Thompson et al. 2015	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1511.03550	0	2015-11-19	M dwarf	NULL
GJ 1214	NULL	17 15 18.94	+04 57 49.70	14.47	NULL	69.1	0.9	AE12b	2817	110	5.06	0.52	NULL	NULL	NULL	NULL	0.05	0.09	0.15	0.01	Santos et al. 2013,Neves et al. 2014	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N	1	2017-04-11	M dwarf	NULL
GJ 15 A	1326	00 18 22.89	+44 01 22.63	8.08	0.01	278.76	0.77	Simbad	3567	11	4.9	0.17	NULL	NULL	NULL	NULL	-0.32	0.17	0.42	0.03	Howard et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1408.5645H	0	2014-08-27	M dwarf	NULL
GJ 160.2	NULL	04 06 34.84	-20 51 11.24	9.67	NULL	43.25	1.61	Simbad	4347	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.69	NULL	Tuomi et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1403.0430T	NULL	2014-03-27	M dwarf	NULL
GJ 163	NULL	04 09 15.66	-53 22 25.31	11.81	0.02	66.69	1.82	Simbad	3223	172	4.87	0.18	NULL	NULL	NULL	NULL	-0.02	0.2	0.4	0.04	Santos et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S	1	2017-04-10	M dwarf	NULL
GJ 176	285968	04 42 55.77	+18 57 29.40	9.95	0.02	107.83	2.85	Simbad	3355	110	4.79	0.13	NULL	NULL	NULL	NULL	-0.01	0.09	0.5	0.05	Santos et al. 2013,Neves et al. 2014	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N	1	2017-04-11	M dwarf	NULL
GJ 179	NULL	04 52 05.73	+06 28 35.64	12.02	0.02	81.4	4	Simbad	3086	110	4.91	0.2	NULL	NULL	NULL	NULL	0.12	0.09	0.36	0.04	Santos et al. 2013,Neves et al. 2014	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N	1	2017-04-11	M dwarf	NULL
GJ 180	NULL	04 53 49.98	-17 46 24.29	10.89	NULL	82.52	2.4	Simbad	3371	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.43	NULL	Tuomi et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1403.0430T	NULL	2014-03-27	M dwarf	NULL
GJ 229	42581	06 10 34.62	-21 51 52.71	8.12	NULL	173.81	0.99	Simbad	3564	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.58	NULL	Tuomi et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1403.0430T	NULL	2014-03-27	M dwarf	NULL
GJ 27.1	NULL	00 39 58.83	-44 15 11.60	11.4	NULL	41.69	2.8	Simbad	3542	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.53	NULL	Tuomi et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1403.0430T	NULL	2014-03-27	M dwarf	NULL
GJ 273	NULL	07 27 24.49	+05 13 32.80	9.87	NULL	262.98	1.39	Simbad	3382	49	NULL	NULL	NULL	NULL	NULL	NULL	0.09	0.17	NULL	NULL	Astudillo-Defru et al. 2017	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1703.05386	0	2017-03-29	M3.5	NULL
GJ 3021	1237	00 16 12.67	-79 51 04.24	6.58	NULL	57.15	0.31	Simbad	5536	50	4.56	0.12	NULL	NULL	1.33	0.06	0.12	0.06	0.91	0.07	Santos et al. 2004	http://adsabs.harvard.edu/abs/2004A%26A...415.1153S	1	2013-02-26	NULL	NULL
GJ 3138	NULL	02 09 10.90	-16 20 22.50	10.98	NULL	33.44	2.17	Simbad	3717	49	NULL	NULL	NULL	NULL	NULL	NULL	-0.3	0.12	NULL	NULL	Astudillo-Defru et al. 2017	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1703.05386	0	2017-04-12	M0	NULL
GJ 317	NULL	08 40 59.24	-23 27 23.30	11.98	NULL	65.3	0.4	AE12a	3106	110	4.85	0.16	NULL	NULL	NULL	NULL	0.22	0.09	0.43	0.04	Santos et al. 2013,Neves et al. 2014	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N	1	2017-04-11	M dwarf	NULL
GJ 328	NULL	08 55 07.60	+01 32 56.44	9.98	0.04	50.52	1.9	H	3856	150	4.64	0.09	NULL	NULL	NULL	NULL	0.27	0.1	0.69	0.07	N13,Newton,N13,D00	http://adsabs.harvard.edu/abs/2013A%26A...551A..36N,http://adsabs.harvard.edu/abs/1760pnpm.book.....N,http://adsabs.harvard.edu/abs/2013A%26A...551A..36N,http://adsabs.harvard.edu/abs/2000A%26A...364..217D	1	2014-03-10	M dwarf	NULL
GJ 3293	NULL	04 28 36.00	-25 10 09.00	11.96	NULL	55	9	Simbad	3466	49	NULL	NULL	NULL	NULL	NULL	NULL	0.02	0.09	NULL	NULL	Astudillo et al. 2014	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1411.7048	0	2015-01-19	M dwarf	NULL
GJ 3323	NULL	05 01 57.50	-6 56 45.90	12.22	NULL	187.92	1.26	Simbad	3159	49	NULL	NULL	NULL	NULL	NULL	NULL	-0.27	0.09	NULL	NULL	Astudillo-Defru et al. 2017	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1703.05386	0	2017-04-12	M4	NULL
GJ 3341	NULL	05 15 47.00	-31 17 46.00	12.08	NULL	43.18	1.4	Simbad	3526	49	NULL	NULL	NULL	NULL	NULL	NULL	-0.09	0.09	NULL	NULL	Astudillo et al. 2014	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1411.7048	0	2015-01-19	M-dwarf	NULL
GJ 3470	NULL	07 59 05.87	+15 23 29.50	12.33	NULL	32.4	2.1	B13	3515	150	4.83	0.15	NULL	NULL	NULL	NULL	0.06	0.1	0.45	0.05	N13,Newton,N13,D00	http://adsabs.harvard.edu/abs/2013A%26A...551A..36N,http://adsabs.harvard.edu/abs/1760pnpm.book.....N,http://adsabs.harvard.edu/abs/2013A%26A...551A..36N,http://adsabs.harvard.edu/abs/2000A%26A...364..217D	1	2014-03-10	M dwarf	NULL
GJ 3634	NULL	10 58 35.10	-31 08 39.10	11.95	NULL	50.55	1.55	R10	3405	110	4.83	0.15	NULL	NULL	NULL	NULL	-0.07	0.09	0.45	0.05	Santos et al. 2013,Neves et al. 2014	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N	1	2017-04-11	M dwarf	NULL
GJ 3998	NULL	17 16 01.00	+11 03 30.00	10.8	NULL	56.2	2.26	Simbad	3722	68	4.77	0.04	NULL	NULL	NULL	NULL	-0.16	0.09	0.47	0.04	Affer et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1607.03632	0	2016-08-29	M1	NULL
GJ 422	304043	11 16 00.21	-57 32 51.60	11.51	NULL	78.91	2.6	Simbad	3323	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.35	NULL	Tuomi et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1403.0430T	NULL	2014-03-27	M dwarf	NULL
GJ 433	NULL	11 35 26.94	-32 32 23.90	9.81	0.02	112.6	1.4	Simbad	3480	110	4.81	0.14	NULL	NULL	NULL	NULL	-0.17	0.09	0.47	0.05	Santos et al. 2013,Neves et al. 2014	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N	1	2017-04-11	M dwarf	NULL
GJ 436	NULL	11 42 10.55	+26 42 30.46	10.59	0.08	98.6	2.3	Simbad	3354	110	4.84	0.16	NULL	NULL	NULL	NULL	-0.03	0.09	0.44	0.04	Santos et al. 2013,Neves et al. 2014	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N	1	2017-04-11	M dwarf	NULL
GJ 536	122303	14 01 03.00	-02 39 18.00	9.71	NULL	99.72	1.57	Simbad	3685	68	4.75	0.04	NULL	NULL	NULL	NULL	-0.08	0.09	0.47	0.04	Suarez Mascareno et al. 2017	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1611.02122	0	2017-04-11	M1	NULL
GJ 581	NULL	15 19 27.51	-07 43 19.44	10.61	0.08	160.9	2.6	Simbad	3248	110	4.96	0.25	NULL	NULL	NULL	NULL	-0.2	0.09	0.3	0.03	Santos et al. 2013,Neves et al. 2014	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N	1	2017-04-11	M dwarf	NULL
GJ 649	NULL	16 58 08.85	+25 44 38.99	9.65	0.02	96.7	1.4	Simbad	3519	150	4.76	0.12	NULL	NULL	NULL	NULL	-0.04	0.1	0.54	0.05	Santos et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S	1	2017-04-11	M dwarf	NULL
GJ 667C	NULL	17 18 58.84	-34 59 48.64	10.22	NULL	146.3	9	Simbad	3445	110	4.96	0.25	NULL	NULL	NULL	NULL	-0.5	0.09	0.3	0.03	Santos et al. 2013,Neves et al. 2014	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N	1	2017-04-11	M dwarf	NULL
GJ 674	NULL	17 28 39.94	-46 53 42.69	9.41	0.02	220.2	1.4	Simbad	3334	110	4.92	0.21	NULL	NULL	NULL	NULL	-0.23	0.09	0.35	0.03	Santos et al. 2013,Neves et al. 2014	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N	1	2017-04-11	M dwarf	NULL
GJ 676A	NULL	17 30 11.20	-51 38 13.10	9.59	0.02	60.79	1.62	Simbad	3734	181	4.62	0.09	NULL	NULL	NULL	NULL	0.08	0.2	0.71	0.07	Santos et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S	1	2017-04-10	M dwarf	NULL
GJ 682	NULL	17 37 03.66	-44 19 09.17	10.95	NULL	196.9	2.15	Simbad	3028	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.27	NULL	Tuomi et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1403.0430T	NULL	2014-03-27	M dwarf	NULL
GJ 687	NULL	17 36 25.90	+68 20 20.91	9.15	NULL	220.84	0.94	Simbad	3414	28	NULL	NULL	NULL	NULL	NULL	NULL	-0.09	NULL	0.41	0.04	Burt et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1405.2929B	NULL	2014-05-23	M dwarf	NULL
GJ 785	NULL	20 15 17.00	-27 01 59.00	6.13	0.01	122.22	0.3	Simbad	5087	48	4.3	0.1	NULL	NULL	0.69	0.1	-0.01	0.03	0.9	0.07	Andreasen et al. 2017	http://adsabs.harvard.edu/abs/2017arXiv170306671A	1	2017-01-19	NULL	NULL
GJ 832	204961	21 33 33.98	-49 00 32.42	8.67	0.02	201.9	1	Simbad	3446	110	4.83	0.15	NULL	NULL	NULL	NULL	-0.17	0.09	0.45	0.05	Santos et al. 2013,Neves et al. 2014	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N	1	2017-04-11	M dwarf	NULL
GJ 849	NULL	22 09 40.34	-04 38 26.62	10.37	0.02	109.9	2.1	Simbad	3143	110	4.8	0.14	NULL	NULL	NULL	NULL	0.22	0.09	0.49	0.05	Santos et al. 2013,Neves et al. 2014	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N	1	2017-04-11	M dwarf	NULL
GJ 86	13445	02 10 25.93	-50 49 25.41	6.17	NULL	92.74	0.32	Simbad	5114	61	4.55	0.13	NULL	NULL	0.66	0.15	-0.29	0.04	0.75	0.06	Tsantaki et al. 2013	http://adsabs.harvard.edu/abs/2013A%26A...555A.150T	1	2013-02-26	NULL	GJ 86 A
GJ 876	NULL	22 53 16.73	-14 15 49.32	10.19	0.01	213.3	2.1	Simbad	2954	110	4.93	0.22	NULL	NULL	NULL	NULL	0.14	0.09	0.33	0.03	Santos et al. 2013,Neves et al. 2014 	http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N 	1	2017-04-11	M dwarf	NULL
HAT-48	NULL	02 57 53.00	+30 37 33.00	12.16	0.11	2.51	NULL	Spec	5946	50	4.3	0.03	NULL	NULL	NULL	NULL	0.02	0.08	1.14	0.08	Bakos et al. 2016	http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1606.04556	0	2016-07-04	NULL	NULL
HAT-P-1	NULL	22 57 46.82	+38 40 29.83	10.4	NULL	6.57	NULL	Spec	6076	27	4.47	0.07	4.4	0.01	1.17	0.05	0.21	0.03	1.12	0.08	Ammler-von Eiff et al. 2009	http://adsabs.harvard.edu/abs/2009A%26A...507..523A	1	2013-02-26	NULL	NULL
HAT-P-11	NULL	19 50 50.24	+48 04 51.08	9.47	0.02	26.69	0.85	Simbad	4624	225	4.15	0.59	4.65	0.01	0.39	0.7	0.26	0.08	0.86	0.27	Mortier et al. 2013c	http://adsabs.harvard.edu/abs/2013A%26A...558A.106M	1	2013-07-10	NULL	NULL
HAT-P-12	NULL	13 57 33.48	+43 29 36.70	12.84	NULL	NULL	NULL	Spec	4642	106	4.24	0.27	NULL	NULL	0.28	0.63	-0.26	0.06	0.76	0.09	Andreasen et al. 2017	http://adsabs.harvard.edu/abs/2017arXiv170306671A	1	2017-01-19	NULL	NULL
HAT-P-13	NULL	08 39 31.81	+47 21 07.33	10.42	0.06	NULL	NULL	Spec	5653	90	4.07	0.02	NULL	NULL	NULL	NULL	0.41	0.08	1.32	0.06	Southworth et al. 2012	http://adsabs.harvard.edu/abs/2012MNRAS.420.2580S	NULL	2013-02-26	NULL	NULL
HAT-P-14	NULL	17 20 27.87	+38 14 31.94	9.99	0.03	NULL	NULL	Spec	6845	108	4.62	0.05	NULL	NULL	1.92	0.15	0.17	0.07	1.35	0.1	Sousa et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150302443S	1	2015-03-12	NULL	NULL
HAT-P-15	NULL	04 24 59.53	+39 27 38.31	12.41	0.24	NULL	NULL	Spec	5568	90	4.38	0.03	NULL	NULL	NULL	NULL	0.22	0.08	1.01	0.04	Kovacs et al. 2010	http://adsabs.harvard.edu/abs/2010ApJ...724..866K	NULL	2013-02-26	NULL	NULL
HAT-P-16	NULL	00 38 17.56	+42 27 47.24	10.91	0.06	NULL	NULL	Spec	6158	80	4.34	0.03	NULL	NULL	NULL	NULL	0.17	0.08	1.22	0.04	Buchhave et al. 2010	http://adsabs.harvard.edu/abs/2010ApJ...720.1118B	NULL	2013-02-26	NULL	NULL
HAT-P-17	NULL	21 38 08.73	+30 29 19.41	10.38	0.03	10.29	NULL	Spec	5332	55	4.45	0.13	4.52	0.02	0.82	0.1	0.05	0.03	0.86	0.07	Mortier et al. 2013c	http://adsabs.harvard.edu/abs/2013A%26A...558A.106M	1	2013-07-10	NULL	NULL
HAT-P-18	NULL	17 05 23.15	+33 00 44.97	12.76	NULL	NULL	NULL	Spec	4803	80	4.57	0.04	NULL	NULL	NULL	NULL	0.1	0.08	0.77	0.03	Hartman et al. 2011	http://adsabs.harvard.edu/abs/2011ApJ...726...52H	NULL	2013-02-26	NULL	NULL
HAT-P-19	NULL	00 38 04.01	+34 42 41.56	12.9	NULL	NULL	NULL	Spec	4990	130	4.54	0.05	NULL	NULL	NULL	NULL	0.23	0.08	0.84	0.04	Hartman et al. 2011	http://adsabs.harvard.edu/abs/2011ApJ...726...52H	NULL	2013-02-26	NULL	NULL
HAT-P-2 	147506	16 20 36.36	+41 02 53.11	8.69	0.01	8.74	0.73	Simbad	6414	51	4.18	0.22	4.14	0.03	NULL	NULL	0.04	0.05	1.34	0.09	Tsantaki et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1407.6765T	1	2014-08-06	NULL	NULL
HAT-P-20	NULL	07 27 39.94	+24 20 11.37	11.34	NULL	9.61	NULL	Spec	4502	188	4.32	0.6	NULL	NULL	0.73	0.6	0.12	0.15	0.77	0.21	Mortier et al. 2013c	http://adsabs.harvard.edu/abs/2013A%26A...558A.106M	1	2013-07-10	NULL	NULL
HAT-P-21	NULL	11 25 05.98	+41 01 40.65	11.46	0.11	NULL	NULL	Spec	5588	80	4.33	0.06	NULL	NULL	NULL	NULL	0.01	0.08	0.95	0.04	Bakos et al. 2011	http://adsabs.harvard.edu/abs/2011ApJ...742..116B	NULL	2013-02-26	NULL	NULL
HAT-P-22	233731	10 22 43.58	+50 07 42.03	9.76	0.02	NULL	NULL	Spec	5351	57	4.22	0.11	NULL	NULL	0.89	0.1	0.28	0.05	1.07	0.08	Sousa et al. 2015	http://adsabs.harvard.edu/abs/2015arXiv150302443S	1	2015-03-12	NULL	NULL
HAT-P-23	NULL	20 24 29.72	+16 45 43.79	11.94	0.2	NULL	NULL	Simbad	5924	30	4.28	0.11	4.33	0.05	NULL	NULL	0.16	0.03	1.13	0.05	Tsantaki et al. 2014	http://adsabs.harvard.edu/abs/2014arXiv1407.6765T	1	2014-08-06	NULL	NULL
HAT-P-24	NULL	07 15 18.02	+14 15 45.39	11.76	0.16	NULL	NULL	Spec	6470	181	4.75	0.26	NULL	NULL	1.4	0.03	-0.41	0.1	1.1	0.1	Andreasen et al. 2017	http://adsabs.harvard.edu/abs/2017arXiv170306671A	1	2017-01-19	NULL	NULL
HAT-P-25	NULL	03 13 44.50	+25 11 50.68	13.15	0.25	NULL	NULL	Spec	5500	80	4.48	0.04	NULL	NULL	NULL	NULL	0.31	0.08	1.01	0.03	Quinn et al. 2012	http://adsabs.harvard.edu/abs/2012ApJ...745...80Q	NULL	2013-02-26	NULL	NULL
HAT-P-26	NULL	14 12 37.53	+04 03 36.13	11.76	0.18	5.43	NULL	Spec	5011	55	4.31	0.17	NULL	NULL	0.48	0.16	0.01	0.04	0.81	0.08	Mortier et al. 2013c	http://adsabs.harvard.edu/abs/2013A%26A...558A.106M	1	2013-07-10	NULL	NULL
HAT-P-27	NULL	14 51 04.18	+05 56 50.53	12.19	0.13	4.56	NULL	Spec	5316	55	4.48	0.1	4.51	0.03	0.82	0.09	0.3	0.03	0.9	0.07	Mortier et al. 2013c	http://adsabs.harvard.edu/abs/2013A%26A...558A.106M	1	2013-07-10	NULL	WASP-40
HAT-P-28	NULL	00 52 00.18	+34 43 42.21	13.03	NULL	NULL	NULL	Spec	5680	90	4.36	0.06	NULL	NULL	NULL	NULL	0.12	0.08	1.02	0.05	Buchhave et al. 2011	http://adsabs.harvard.edu/abs/2011ApJ...733..116B	NULL	2013-02-26	NULL	NULL
HAT-P-29	NULL	02 12 31.49	+51 46 43.57	11.83	0.16	NULL	NULL	Spec	6087	88	4.34	0.06	NULL	NULL	NULL	NULL	0.21	0.08	1.21	0.05	Buchhave et al. 2011	http://adsabs.harvard.edu/abs/2011ApJ...733..116B	NULL	2013-02-26	NULL	NULL
HAT-P-3 	NULL	13 44 22.58	+48 01 43.18	11.86	0.15	NULL	NULL	Spec	5185	50	4.51	0.02	NULL	NULL	NULL	NULL	0.27	0.05	0.9	0.06	Southworth 2012	http://adsabs.harvard.edu/abs/2012MNRAS.426.1291S	NULL	2013-02-26	NULL	NULL
HAT-P-30	NULL	08 15 47.97	+05 50 12.39	10.35	0.05	6.2	NULL	Spec	6338	42	4.52	0.06	NULL	NULL	1.4	0.05	0.12	0.03	1.17	0.08	Mortier et al. 2013c	http://adsabs.harvard.edu/abs/2013A%26A...558A.106M	1	2013-07-10	NULL	WASP-51
HAT-P-31	NULL	18 06 09.05	+26 25 35.97	11.67	0.11	NULL	NULL	Spec	6065	100	4.26	0.11	NULL	NULL	NULL	NULL	0.15	0.08	1.22	0.09	Kipping et al. 2011	http://adsabs.harvard.edu/abs/2011AJ....142...95K	NULL	2013-02-26	NULL	NULL
HAT-P-32	NULL	02 04 10.27	+46 41 16.21	11.44	0.12	NULL	NULL	Spec	6207	88	4.33	0.01	NULL	NULL	NULL	NULL	-0.04	0.08	1.16	0.04	Hartman et al. 2011	http://adsabs.harvard.edu/abs/2011ApJ...742...59H	NULL	2013-02-26	NULL	NULL
HAT-P-33	NULL	07 32 44.21	+33 50 06.12	11.03	0.11	NULL	NULL	Spec	6446	88	4.15	0.01	NULL	NULL	NULL	NULL	0.07	0.08	1.38	0.04	Hartman et al. 2011	http://adsabs.harvard.edu/abs/2011ApJ...742...59H	NULL	2013-02-26	NULL	NULL
